source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4065693734155073280,271.80688334722595,-25.016281122244944,,,,,19.611134,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693454896725760,271.82996133943976,-25.02970169961347,0.7914681407920764,0.09536905611175883,0.3870847586805662,0.9221951,13.953695,1.2707224,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5023.202,3.5039,-0.258,1190.4058,0.5817,0.4598,0.2461
4065693454896728320,271.83470205344236,-25.02794694107744,0.33029343071739925,-2.184568123145885,-18.100602649665163,0.9826164,14.490831,1.9803534,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6994.1147,2.526,-0.9985,5397.667,3.6819,2.9026,1.6115
4065693454896728832,271.8359053657587,-25.027353835517587,0.71236035742818,1.277965418520871,-2.6615909688255663,0.95548844,15.330689,1.3332214,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,7472.198,4.1085,-0.9733,1618.8428,2.1684,1.8151,0.9913
4065693454896729856,271.83797077595,-25.029133807111137,0.366829920903251,-1.8741945337607882,-18.409751422125517,0.9601661,15.752125,0.9948158,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4065693454926836992,271.8315373118617,-25.030358813707412,0.4539478129705376,-2.483241605058457,-19.201007195463124,0.98950654,17.757484,1.5719166,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5538.0903,4.6978,-3.7753,1085.1483,1.8264,1.4301,0.7985
4065693454926838912,271.8343056766892,-25.030588238694957,0.2938688201633182,-2.0031991178808433,-17.9803521185423,0.9931323,18.035027,1.7010994,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5136.267,4.776,-3.3993,986.0396,1.6048,1.2364,0.6871
4065693454926913280,271.83365665008387,-25.030375663097267,,,,,19.683233,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693454926964224,271.8311897635451,-25.029393889103698,-1.6628627383957069,-4.240527674429452,-17.149031767544496,1.5115918,19.047518,1.5181065,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693454926973056,271.83949391110104,-25.03050850562845,0.2338719161548265,-3.6949043257375997,-7.2207607007600725,0.962874,17.803448,2.5753403,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4065693454926984320,271.83692161272563,-25.030144395560022,0.26746011123719216,-0.9226093765150459,-1.435974427267598,1.0784574,18.245855,1.97682,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4110.8706,4.3583,-2.8244,797.1749,0.9854,0.7162,0.3908
4065693454927005952,271.8355412196367,-25.030422816997536,0.943589392020664,-1.065173393554097,-18.809685126340668,0.9618646,19.083876,1.3782177,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459199422720,271.83734923641964,-25.02740507161488,,,,,19.8544,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217628032,271.8372470488629,-25.02927262745783,-0.439355022259238,-6.556650255966704,-8.926012056606016,2.4994187,19.034819,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217628160,271.83693872072195,-25.02959142809068,2.0084735355438728,-3.8033283750051448,-18.121574622622102,1.0745918,18.698437,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217629184,271.83602638283793,-25.030396759949124,2.8465567777917316,1.5439388453062852,-12.774055897601952,1.3635684,19.040249,2.0367317,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217636992,271.83607591307936,-25.029453316169107,0.5076506443341742,-2.9722741857948107,-6.960406365174869,0.97218424,17.918291,2.6015854,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4167.887,4.162,-1.4669,630.8863,3.1918,2.1919,1.209
4065693459217637376,271.8373917928404,-25.02819797891047,0.4485008374891092,1.8722713421639774,-2.1693165131486394,1.0477376,18.11537,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4065693459217655168,271.8348969368573,-25.02832639652235,0.22472674435390735,-2.7652915799492828,-18.935644920378884,1.157028,17.845108,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217666944,271.832281347355,-25.02969000581525,0.10008129923647156,-2.286860755493232,-18.704737227195352,1.0932698,18.298258,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459217667072,271.83189335833697,-25.02894441213618,0.5876375381631878,0.7615151043621377,-1.725857927094467,2.8216703,13.915451,1.4030895,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,10043.32,4.0233,-1.3637,1390.7911,2.4772,2.1755,1.1826
4065693459217668096,271.8348246809541,-25.02686632724657,-0.1225133344441044,-4.484319687350742,-18.120627452728254,1.8239784,18.144842,1.5827274,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4065693459219538304,271.83789487712016,-25.028613985971838,1.1439322994072831,-4.03529236124742,-20.45790870014942,1.1343108,19.03924,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459219542784,271.8339841594703,-25.028654115605864,0.5632825387374526,-1.7330708041585727,-18.620208343869464,1.0470327,18.106544,1.5937805,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4065693459219543680,271.8328733913924,-25.02844213191852,-0.5673638914461696,-2.749128807826244,-1.4325539906894211,1.0732487,18.214844,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459219701504,271.83092169260624,-25.028978808111923,,,,,19.560755,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459219806336,271.83275031224076,-25.027829491116375,,,,,20.057596,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459219806464,271.8330909089729,-25.02798054485061,0.35300555501215636,-2.0773957493064197,-18.33318042088171,1.0368316,17.877096,1.738142,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
4065693459252875264,271.83930298934405,-25.029440091685228,0.4318947152532862,-3.335884030878879,-18.348081650162246,1.0401021,18.37849,1.9048672,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459273211264,271.8361700909143,-25.030729529397217,0.42596962257473536,-2.316907073497994,-18.337435750166485,0.99838704,19.3614,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459273216512,271.8357863633362,-25.028545474520204,-0.5828803887925958,-1.0234262853326974,-5.087240794377759,0.90395385,19.20327,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4065693459273216768,271.8361925738676,-25.02808215971804,0.009674813326775484,-2.3838378828091717,-6.111621272414924,1.050409,18.33808,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
